,Field,Type,Null,Key,Default,Extra
211,Sewer,text,YES,,,
212,ShowingInstructions,text,YES,,,
213,SourceSystemKey,varchar(275),YES,,,
214,SpaFeatures,text,YES,,,
215,SpaYN,tinyint(1),YES,,,
216,SpecialListingConditions,text,YES,,,
217,StandardStatus,varchar(45),YES,MUL,,
218,StateOrProvince,varchar(22),YES,MUL,,
219,Stories,bigint(20),YES,,,
220,StreetDirPrefix,varchar(35),YES,,,
221,StreetName,varchar(70),YES,,,
222,StreetNumber,varchar(45),YES,,,
223,StreetSuffix,varchar(45),YES,,,
224,SubdivisionName,varchar(70),YES,,,
225,SyndicationRemarks,text,YES,,,
226,TaxAnnualAmount,"decimal(14,2)",YES,,,
227,Telephone,text,YES,,,
228,Topography,text,YES,,,
229,TransactionBrokerCompensation,varchar(45),YES,,,
230,TransactionBrokerCompensationType,varchar(45),YES,,,
231,UnitNumber,varchar(50),YES,,,
232,UnparsedAddress,text,YES,,,
233,Utilities,text,YES,,,
234,Vegetation,text,YES,,,
235,View,text,YES,,,
236,ViewYN,tinyint(1),YES,,,
237,VirtualTourURLUnbranded,text,YES,,,
238,WaterBodyName,varchar(70),YES,,,
239,WaterSource,text,YES,,,
240,WaterfrontFeatures,text,YES,,,
241,WaterfrontYN,tinyint(1),YES,,,
242,WindowFeatures,text,YES,,,
243,YearBuilt,bigint(20),YES,MUL,,
244,ZoningDescription,text,YES,,,
245,PictureLastDownloadedTimestamp,datetime,YES,,,
246,PictureDownloaded,int(11),NO,MUL,0,
247,PictureDownloadedCount,smallint(4),YES,,,
248,HasPictures,tinyint(2),NO,,0,
249,HoursUntilNextRetry,int(11),YES,,,
250,GeoOverride,int(11),NO,,0,
251,GeoCacheV2Id,int(11),YES,,,
252,GeoAddress,varchar(100),YES,,,
253,GeoCity,varchar(50),YES,,,
254,GeoState,varchar(14),YES,,,
255,GeoZipCode,varchar(10),YES,,,
256,GeoTimestamp,datetime,YES,,,
257,added_timestamp,timestamp,NO,,CURRENT_TIMESTAMP,
258,PriceDropDate,datetime,YES,,,
259,PriceDropFrom,int(8),YES,,,
